                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7464,                 5.9169,                  4.359,                 2.7193,                0.70591,                 0.1828,                0.07406,                0.03659,                0.70591,                 0.1828,                 0.0751,                0.03663,                  2.152,                 1.7805,                  19.41,                 2.1749,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 2.0358,                0.92296,                 3.4983,                 2.0641,                0.37949,                0.20276,                0.02381,                0.00728,                0.36639,                0.10599,                 0.0115,                0.00295,                 3.0748,                 30.538,                 124.59,                  2.744,             0.00015563,             0.00015563,             0.00015563
